experiment,epoch,configuration,val_accuracy,train_accuracy
configuration_3x3_3x3,243,"conv3x3,conv3x3",0.9867,0.99465
configuration_3x3_3x3,244,"conv3x3,conv3x3",0.987,0.9947333333333334
configuration_3x3_3x3,245,"conv3x3,conv3x3",0.9873,0.99475
configuration_3x3_3x3,246,"conv3x3,conv3x3",0.9879,0.9947166666666667
configuration_3x3_3x3,247,"conv3x3,conv3x3",0.9867,0.99475
configuration_3x3_3x3,248,"conv3x3,conv3x3",0.9874,0.99475
configuration_3x3_3x3,249,"conv3x3,conv3x3",0.9873,0.9947833333333334
configuration_3x3_3x3,250,"conv3x3,conv3x3",0.9871,0.9947833333333334
configuration_3x3_3x3,251,"conv3x3,conv3x3",0.987,0.9947666666666667
configuration_3x3_3x3,252,"conv3x3,conv3x3",0.9876,0.9948166666666667
configuration_3x3_3x3,253,"conv3x3,conv3x3",0.9872,0.9948166666666667
configuration_3x3_3x3,254,"conv3x3,conv3x3",0.9871,0.99485
configuration_3x3_3x3,255,"conv3x3,conv3x3",0.9876,0.99485
configuration_3x3_3x3,256,"conv3x3,conv3x3",0.9873,0.9948833333333333
configuration_3x3_3x3,257,"conv3x3,conv3x3",0.9872,0.9948666666666667
configuration_3x3_3x3,258,"conv3x3,conv3x3",0.9878,0.9949
configuration_3x3_3x3,259,"conv3x3,conv3x3",0.9866,0.9948833333333333
configuration_3x3_3x3,260,"conv3x3,conv3x3",0.9869,0.9949333333333333
configuration_3x3_3x3,261,"conv3x3,conv3x3",0.9875,0.9949166666666667
configuration_3x3_3x3,262,"conv3x3,conv3x3",0.9876,0.9949666666666667
configuration_3x3_3x3,263,"conv3x3,conv3x3",0.9874,0.9949833333333333
configuration_3x3_3x3,264,"conv3x3,conv3x3",0.9877,0.99495
configuration_3x3_3x3,265,"conv3x3,conv3x3",0.9869,0.9949166666666667
configuration_3x3_3x3,266,"conv3x3,conv3x3",0.9875,0.9949833333333333
configuration_3x3_3x3,267,"conv3x3,conv3x3",0.9873,0.9949666666666667
configuration_3x3_3x3,268,"conv3x3,conv3x3",0.9873,0.9950166666666667
configuration_3x3_3x3,269,"conv3x3,conv3x3",0.9875,0.9950166666666667
configuration_3x3_3x3,270,"conv3x3,conv3x3",0.987,0.9950166666666667
configuration_3x3_3x3,271,"conv3x3,conv3x3",0.9875,0.99505
configuration_3x3_3x3,272,"conv3x3,conv3x3",0.9872,0.9950666666666667
configuration_3x3_3x3,273,"conv3x3,conv3x3",0.9871,0.9950666666666667
configuration_3x3_3x3,274,"conv3x3,conv3x3",0.9876,0.9950666666666667
configuration_3x3_3x3,275,"conv3x3,conv3x3",0.9876,0.9951
configuration_3x3_3x3,276,"conv3x3,conv3x3",0.987,0.9950833333333333
configuration_3x3_3x3,277,"conv3x3,conv3x3",0.9872,0.9950833333333333
configuration_3x3_3x3,278,"conv3x3,conv3x3",0.9877,0.99515
configuration_3x3_3x3,279,"conv3x3,conv3x3",0.9874,0.99515
configuration_3x3_3x3,280,"conv3x3,conv3x3",0.9881,0.9951833333333333
configuration_3x3_3x3,281,"conv3x3,conv3x3",0.988,0.9951833333333333
configuration_3x3_3x3,282,"conv3x3,conv3x3",0.9882,0.9952333333333333
configuration_3x3_3x3,283,"conv3x3,conv3x3",0.9881,0.9952166666666666
configuration_3x3_3x3,284,"conv3x3,conv3x3",0.9878,0.99525
configuration_3x3_3x3,285,"conv3x3,conv3x3",0.9877,0.9952
configuration_3x3_3x3,286,"conv3x3,conv3x3",0.9884,0.9953166666666666
configuration_3x3_3x3,287,"conv3x3,conv3x3",0.9878,0.99525
configuration_3x3_3x3,288,"conv3x3,conv3x3",0.9882,0.9953333333333333
configuration_3x3_3x3,289,"conv3x3,conv3x3",0.988,0.9953333333333333
configuration_3x3_3x3,290,"conv3x3,conv3x3",0.9879,0.9953666666666666
configuration_3x3_3x3,291,"conv3x3,conv3x3",0.9879,0.99535
configuration_3x3_3x3,292,"conv3x3,conv3x3",0.988,0.9953666666666666
configuration_3x3_3x3,293,"conv3x3,conv3x3",0.9883,0.9953833333333333
configuration_3x3_3x3,294,"conv3x3,conv3x3",0.9879,0.9953833333333333
configuration_3x3_3x3,295,"conv3x3,conv3x3",0.9879,0.9953833333333333
configuration_3x3_3x3,296,"conv3x3,conv3x3",0.988,0.9954
configuration_3x3_3x3,297,"conv3x3,conv3x3",0.9877,0.9953833333333333
configuration_3x3_3x3,298,"conv3x3,conv3x3",0.9877,0.9954333333333333
configuration_3x3_3x3,299,"conv3x3,conv3x3",0.9884,0.99545
configuration_3x3_3x3,300,"conv3x3,conv3x3",0.9885,0.99545
